attribute,group,group_column,group_value,group_label,sample_size,min_group_size,accuracy,precision,recall,f1,false_positive_rate,false_negative_rate,selection_rate,risk_percentage,high_risk_actual_count,high_risk_predicted_count,high_risk_false_negative_count,high_risk_false_negative_rate,high_risk_selection_rate,overall_accuracy,overall_f1,overall_false_negative_rate,overall_selection_rate,overall_high_risk_false_negative_rate,accuracy_gap,f1_gap,false_negative_rate_gap,selection_rate_gap,fairness_flag,notes
RIAGENDR,1,RIAGENDR,1,Male,785,20,0.9924,0.9929,0.9924,0.9925,0.0019,0.0076,0.1936,19.3631,53,53,1,0.0189,0.0675,0.9913,0.9913,0.0087,0.2525,0.0196,0.001,0.0012,-0.001,-0.0589,OK,No major disparity detected.
RIAGENDR,2,RIAGENDR,2,Female,827,20,0.9903,0.9902,0.9903,0.9902,0.0024,0.0097,0.3083,30.8343,100,98,2,0.02,0.1185,0.9913,0.9913,0.0087,0.2525,0.0196,-0.001,-0.0011,0.001,0.0559,OK,No major disparity detected.
AGE_GROUP,18-29,AGE_GROUP,18-29,18-29,338,20,0.9852,0.9872,0.9852,0.9857,0.0037,0.0148,0.2308,23.0769,28,28,1,0.0357,0.0828,0.9913,0.9913,0.0087,0.2525,0.0196,-0.0061,-0.0055,0.0061,-0.0217,OK,No major disparity detected.
AGE_GROUP,30-44,AGE_GROUP,30-44,30-44,394,20,0.9949,0.9958,0.9949,0.9946,0.0013,0.0051,0.2259,22.5888,36,36,0,0.0,0.0914,0.9913,0.9913,0.0087,0.2525,0.0196,0.0036,0.0034,-0.0036,-0.0266,OK,No major disparity detected.
AGE_GROUP,45-59,AGE_GROUP,45-59,45-59,376,20,0.9867,0.9865,0.9867,0.9863,0.0033,0.0133,0.2899,28.9894,38,37,1,0.0263,0.0984,0.9913,0.9913,0.0087,0.2525,0.0196,-0.0046,-0.005,0.0046,0.0374,OK,No major disparity detected.
AGE_GROUP,60+,AGE_GROUP,60+,60+,504,20,0.996,0.9961,0.996,0.996,0.001,0.004,0.2599,25.9921,51,50,1,0.0196,0.0992,0.9913,0.9913,0.0087,0.2525,0.0196,0.0047,0.0047,-0.0047,0.0074,OK,No major disparity detected.
RIDRETH1,1,RIDRETH1,1,Mexican American,219,20,0.9954,0.9966,0.9954,0.9957,0.0011,0.0046,0.274,27.3973,21,21,0,0.0,0.0959,0.9913,0.9913,0.0087,0.2525,0.0196,0.0041,0.0044,-0.0041,0.0215,OK,No major disparity detected.
RIDRETH1,2,RIDRETH1,2,Other Hispanic,136,20,0.9706,0.972,0.9706,0.9701,0.0074,0.0294,0.2868,28.6765,20,18,2,0.1,0.1324,0.9913,0.9913,0.0087,0.2525,0.0196,-0.0207,-0.0211,0.0207,0.0343,OK,No major disparity detected.
RIDRETH1,3,RIDRETH1,3,Non-Hispanic White,738,20,0.9932,0.9932,0.9932,0.9931,0.0017,0.0068,0.2507,25.0678,72,72,0,0.0,0.0976,0.9913,0.9913,0.0087,0.2525,0.0196,0.0019,0.0019,-0.0019,-0.0018,OK,No major disparity detected.
RIDRETH1,4,RIDRETH1,4,Non-Hispanic Black,312,20,0.9904,0.992,0.9904,0.9909,0.0024,0.0096,0.2692,26.9231,27,28,0,0.0,0.0897,0.9913,0.9913,0.0087,0.2525,0.0196,-0.0009,-0.0004,0.0009,0.0167,OK,No major disparity detected.
